Titulo;Latitude;Longitude;Ubicación;Pais;Continente;Anio;Motivo;Valor;Tecnica;Estado;Imagen;Texto
Rage, Flower Thrower;31,7683;35,2137;Jerusalén;Palestina;Asia;2003;Política;1300000;Stencil;Buen estado;https://artloversapp.com/wp-content/uploads/Bansky-Location-Flower-thrower-Ash-Salon-Street.jpg;Ubicada en Jerusalén. El contraste entre la pose violenta del manifestante, y el ramo de flores simboliza el anhelo de cambio pacífico en una región plagada de violencia.
Guantanamo Bay Detainee;33,8121;-117,919;Disneyland, California;Estados Unidos;América;2006;Política;500000;Instalación;Removida;https://cdn.culturagenial.com/es/imagenes/guantanamo-bay-prisioner.jpg?class=article;Instalada en Disneyland en 2006, esta obra crítica muestra una figura inflable vestida como un prisionero de Guantánamo. Denuncia la hipocresía de los derechos humanos en un país que proyecta una imagen de libertad y democracia.
If Graffiti Changed Anything, it would be Illegal;51,5074;-0,1278;Londres;Inglaterra;Europa;2011;Política;200000;Stencil;Vandalizada;https://banksyexplained.com/wp-content/uploads/2021/05/IF-GRAFFITI-DETAIL-2-1.jpg;Ubicada en Londres, esta obra ironiza sobre la percepción del graffiti como una amenaza al sistema. Referencia a una cita de Emma Goldman y resalta cómo el arte callejero es reprimido porque desafía la norma.
Flying Balloon Girl;32;35,3833;Cisjordania;Palestina;Asia;2005;Justicia social;2072000;Stencil;Buen estado;https://ourhouseisourworld.wordpress.com/wp-content/uploads/2014/01/banksyballoongirl1.png;Pintada en el muro de Cisjordania, esta obra representa la esperanza infantil en medio de un entorno hostil. Una niña es elevada por globos, como símbolo de escape y libertad.
Interest in People;43,6511;-79,3839;Toronto;Canada;América;2010;Capitalismo;60000;Stencil;Vandalizada;https://en.artsdot.com/ADC/Art.nsf/O/BLBJP4/$File/Banksy-Interest-in-People-S.jpg;Creada en Toronto, esta obra critica la alienación moderna en un mundo hiperdigitalizado. A pesar de la hiperconexión en redes sociales, la obra refleja el desinterés genuino por las personas reales.
Show Me the Monet;51,5074;-0,1278;Londres;Inglaterra;Europa;2005;Medio ambiente;7551600;Óleo sobre lienzo;Buen estado;https://banksyexplained.com/wp-content/uploads/2021/04/SHOW-ME-THE-MONET-DETAILS-1.jpg;Una reinterpretación de la obra de Monet, que critica el impacto del consumismo en la naturaleza. Banksy transforma un paisaje idílico en una alegoría del descuido humano hacia el medio ambiente.
The Son of a Migrant from Syria;48,8566;2,3522;París;Francia;Europa;2015;Justicia social;750000;Stencil;Buen estado;https://static.guim.co.uk/sys-images/Guardian/Pix/audio/video/2015/12/12/1449929778633/KP_745313_crop_640x480.jpg;bicada en Calais, Francia, muestra al hijo de un migrante como un símbolo de esperanza y humanidad. Con un chaleco salvavidas y una bengala, Banksy visibiliza la lucha de los refugiados sirios por encontrar un hogar seguro.
The Segregation Wall;31,7683;35,2137;Jerusalén;Israel;Asia;2007;Justicia social;800000;Mural;Removida;https://banksyexplained.com/wp-content/uploads/2021/05/SEGREGATION-WALL-PIC-BB2.png;Pintada directamente sobre el muro de Cisjordania, esta obra muestra ventanas hacia paisajes paradisíacos. Banksy transforma este símbolo de separación en un acto de resistencia visual, sugiriendo un mundo donde las barreras físicas y sociales pueden ser superadas.
Sorry! The lifestyle you ordered is currently out of stock ;40,7128;-74,006;Nueva York;Estados Unidos;América;2009;Justicia social;2319000;Stencil;Buen estado;https://m.media-amazon.com/images/I/51u8BA9cDTL._AC_UF894,1000_QL80_.jpg;Ubicada en Nueva York, esta obra es una sátira sobre el consumismo. En un contexto donde el capitalismo prometía felicidad a través de bienes materiales, Banksy muestra cómo el sistema no puede cumplir con esas expectativas.
Sale Ends ;40,7128;-74,006;Nueva York;Estados Unidos;América;2008;Justicia social;7060000;Stencil;Buen estado;https://banksyexplained.com/wp-content/uploads/2021/05/SALE-ENDS-VERSION2-SOTHEBYS.jpg;Esta obra muestra a personas arrodilladas como si rezaran ante un cartel de ""Sale Ends Today"". Banksy critica la devoción desmedida por lo material y refleja cómo las ofertas y rebajas se han convertido en una suerte de religión moderna.
